	Cluster1	Cluster2	Cluster3	Cluster4
Rad_d	5733	1063	840	445
Rad_w	1833	313	199	98
Rad_m	818	139	76	37
Rad_q	2611	352	171	94
Med_d	3325	1491	1207	461
Med_w	2813	632	443	235
Med_m	771	122	73	39
Med_q	289	39	21	15
Med_y	112	17	7	3
Med_r	825	95	44	22
Med_n	13856	1339	777	572
Time_w0	4234	385	196	138
Time_w1-3	5321	1127	764	401
Time_w4-6	876	213	189	77
Time_w7+	564	141	138	58
Pur_q	1443	8	1161	655
Pur_y	928	298	19	2
Pur_2y	1731	486	31	4
Pur_n	6895	1075	73	14
REC_q	304	1522	964	24
REC_y	506	15	27	63
REC_2y	733	23	23	45
REC_n	9453	307	272	542
CD_SY	1253	7	1005	547
CD_FairY	114	1	102	60
CD_FdldY	118	849	520	0
TR_FdldY	80	809	413	16
CD_FriendY	81	325	235	0
TR_FriendY	27	163	105	7
